Report of testing
======================General information===================
Total number of different cases: 1016
proportional: 1016
unproportional: 0
zeroDerivations: 0
correct answers number: 1016
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 382.3039162158966
average time per test: 4.497693131951725
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
=====================Proportional derivations==================
1):  (1, 6, 5, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(8*x**6 + 3*x**5 + 8*x**4 + 2*x**3 + 9*x**2 + 7*x + 8)] |-----|
2):  (8, 2, 11, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(3*x**12 + 3*x**11 + 4*x**10 + 3*x**9 + x**8 + 2*x**7 + 6*x**6 + 3*x**5 + 5*x**4 + x**3 + 3*x**2 + 6*x + 1)] |-----|
3):  (2, 3, 2, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(2*x**3 + 5*x**2 + x + 7)] |-----|
4):  (13, 2, 10, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(4*x**11 + x**10 + x**9 + 2*x**8 + 8*x**7 + 7*x**6 + 2*x**5 + x**4 + 2*x**3 + 7*x**2 + x + 7)] |-----|
5):  (15, 8, 2, 1, 0, -2):  GIVEN_DERIVATION : [0, -2*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(7*x**3 + 8*x**2 + 4*x + 3)] |-----|
6):  (8, 4, 2, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(2*x**3 + x**2 + 7*x + 1)] |-----|
7):  (13, 14, 12, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(3*x**13 + 6*x**12 + 4*x**11 + 8*x**10 + 2*x**9 + 6*x**8 + 6*x**7 + x**6 + 2*x**5 + 7*x**4 + 9*x**3 + 7*x**2 + 5*x + 1)] |-----|
8):  (15, 3, 12, 1, 0, -11):  GIVEN_DERIVATION : [0, -11*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(9*x**13 + 3*x**12 + x**11 + 9*x**10 + 2*x**9 + 4*x**8 + 3*x**7 + 6*x**6 + 7*x**5 + 7*x**4 + 9*x**3 + 7*x**2 + 6*x + 4)] |-----|
9):  (8, 4, 3, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(4*x**4 + 6*x**3 + 8*x**2 + 3*x + 9)] |-----|
10):  (6, 5, 12, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(6*x**13 + 2*x**12 + 6*x**11 + 9*x**10 + 5*x**9 + 7*x**8 + 9*x**7 + 4*x**6 + 9*x**5 + 3*x**4 + 3*x**3 + 8*x**2 + 3*x + 9)] |-----|
11):  (10, 9, 2, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**2*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (5, 5) |-----| COMMUTATOR : [0, y*(3*x**3 + 2*x**2 + x + 5)] |-----|
12):  (3, 2, 4, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(2*x**5 + 8*x**4 + 2*x**3 + 3*x**2 + 2*x + 6)] |-----|
13):  (15, 14, 14, 1, 0, -6):  GIVEN_DERIVATION : [0, -6*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(9*x**15 + 2*x**14 + 4*x**13 + 7*x**12 + 5*x**11 + 3*x**10 + x**9 + 9*x**8 + 9*x**7 + 3*x**6 + 3*x**5 + 8*x**4 + 6*x**3 + x**2 + x + 1)] |-----|
14):  (1, 8, 6, 1, 0, -11):  GIVEN_DERIVATION : [0, -11*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(6*x**7 + 5*x**6 + 7*x**5 + x**4 + 8*x**3 + 8*x**2 + 3*x + 7)] |-----|
15):  (1, 12, 4, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(5*x**5 + 6*x**4 + 6*x**3 + x**2 + 4*x + 2)] |-----|
16):  (2, 4, 1, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(9*x**2 + 5*x + 5)] |-----|
17):  (14, 9, 14, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(x**15 + 6*x**14 + 2*x**13 + 7*x**12 + 9*x**11 + 9*x**10 + x**9 + 6*x**8 + 9*x**7 + 9*x**6 + 9*x**5 + 8*x**4 + 4*x**3 + 2*x**2 + 2*x + 5)] |-----|
18):  (7, 9, 4, 1, 0, -4):  GIVEN_DERIVATION : [0, -4*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(3*x**5 + 9*x**4 + 9*x**3 + 5*x**2 + 9*x + 1)] |-----|
19):  (3, 10, 7, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(8*x**8 + 7*x**7 + 7*x**6 + 9*x**5 + 7*x**4 + 9*x**3 + 2*x**2 + 8*x + 2)] |-----|
20):  (4, 11, 11, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(8*x**12 + 2*x**11 + 7*x**10 + 7*x**9 + 6*x**8 + x**7 + 7*x**6 + x**5 + 2*x**4 + 3*x**3 + 5*x**2 + 9*x + 6)] |-----|
21):  (15, 4, 9, 1, 0, 13):  GIVEN_DERIVATION : [0, 13*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(8*x**10 + 5*x**9 + 8*x**8 + 4*x**7 + 6*x**6 + 2*x**5 + x**4 + 7*x**3 + 2*x**2 + 3*x + 4)] |-----|
22):  (5, 5, 15, 1, 0, 3):  GIVEN_DERIVATION : [0, 3*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(9*x**16 + 4*x**15 + 3*x**14 + 9*x**13 + 2*x**12 + 9*x**11 + 6*x**10 + 4*x**9 + 8*x**8 + 3*x**7 + 6*x**6 + 2*x**5 + 3*x**4 + 2*x**3 + 9*x**2 + 9*x + 4)] |-----|
23):  (11, 8, 1, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(5*x**2 + 7*x + 6)] |-----|
24):  (7, 15, 15, 1, 0, 7):  GIVEN_DERIVATION : [0, 7*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(2*x**16 + 2*x**15 + x**14 + 9*x**13 + 4*x**12 + 3*x**11 + 6*x**10 + 2*x**9 + 9*x**8 + 7*x**7 + 3*x**6 + 7*x**5 + 6*x**4 + 2*x**3 + 5*x**2 + 9*x + 8)] |-----|
25):  (7, 15, 7, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(8*x**8 + x**7 + 8*x**6 + 7*x**5 + 7*x**4 + 8*x**3 + 2*x**2 + 2*x + 9)] |-----|
26):  (7, 6, 8, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(9*x**9 + 4*x**8 + x**7 + 6*x**6 + 6*x**5 + 8*x**4 + 6*x**3 + 4*x**2 + 3*x + 2)] |-----|
27):  (7, 3, 6, 1, 0, -7):  GIVEN_DERIVATION : [0, -7*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(6*x**7 + 8*x**6 + 3*x**5 + 2*x**4 + 7*x**3 + 7*x**2 + 4*x + 6)] |-----|
28):  (7, 15, 11, 1, 0, 12):  GIVEN_DERIVATION : [0, 12*x**11*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [0, y*(3*x**12 + 9*x**11 + 4*x**10 + 6*x**9 + 2*x**8 + 4*x**7 + 3*x**6 + 2*x**5 + 5*x**4 + 4*x**3 + 5*x**2 + 9*x + 3)] |-----|
29):  (6, 14, 12, 1, 0, 9):  GIVEN_DERIVATION : [0, 9*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(6*x**13 + 4*x**12 + 6*x**11 + 2*x**10 + 4*x**9 + 4*x**8 + 2*x**7 + 2*x**6 + 8*x**5 + 7*x**4 + 2*x**3 + 7*x**2 + 4*x + 6)] |-----|
30):  (7, 5, 1, 1, 0, 8):  GIVEN_DERIVATION : [0, 8*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(2*x**2 + 5*x + 3)] |-----|
31):  (4, 12, 8, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(4*x**9 + 5*x**8 + 3*x**7 + 5*x**6 + 6*x**5 + 7*x**4 + 5*x**3 + 4*x**2 + 8*x + 2)] |-----|
32):  (13, 2, 6, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(8*x**7 + 8*x**6 + 9*x**5 + 3*x**4 + 4*x**3 + 8*x**2 + 7*x + 4)] |-----|
33):  (10, 10, 14, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(3*x**15 + 6*x**14 + 3*x**13 + 4*x**12 + 2*x**11 + 3*x**10 + 3*x**9 + 5*x**8 + 9*x**7 + 7*x**6 + 9*x**5 + 9*x**4 + 3*x**3 + 9*x**2 + 2*x + 3)] |-----|
34):  (7, 12, 5, 1, 0, -4):  GIVEN_DERIVATION : [0, -4*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(8*x**6 + 9*x**5 + 8*x**4 + x**3 + x**2 + 3*x + 3)] |-----|
35):  (12, 3, 15, 1, 0, 12):  GIVEN_DERIVATION : [0, 12*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(x**16 + 5*x**15 + 7*x**14 + 4*x**13 + x**12 + 3*x**11 + x**10 + 7*x**9 + 8*x**8 + 3*x**7 + 7*x**6 + x**5 + 2*x**4 + 3*x**3 + 8*x**2 + x + 3)] |-----|
36):  (3, 11, 4, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(4*x**5 + 4*x**4 + 8*x**3 + 4*x**2 + 2*x + 9)] |-----|
37):  (14, 13, 6, 1, 0, -10):  GIVEN_DERIVATION : [0, -10*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(7*x**7 + 8*x**6 + 3*x**5 + 9*x**4 + 5*x**3 + 6*x**2 + 3*x + 7)] |-----|
38):  (5, 3, 3, 1, 0, -1):  GIVEN_DERIVATION : [0, -x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(4*x**4 + 2*x**3 + 3*x**2 + x + 2)] |-----|
39):  (9, 6, 7, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(8*x**8 + 5*x**7 + 4*x**6 + 9*x**5 + 9*x**4 + 9*x**3 + 4*x**2 + 8*x + 9)] |-----|
40):  (6, 15, 5, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(7*x**6 + 7*x**5 + 8*x**4 + 9*x**3 + 8*x**2 + 2*x + 7)] |-----|
41):  (11, 13, 14, 1, 0, 7):  GIVEN_DERIVATION : [0, 7*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(3*x**15 + 8*x**14 + 3*x**13 + 5*x**12 + 3*x**11 + 9*x**10 + 4*x**9 + 6*x**8 + 4*x**7 + 9*x**6 + 6*x**5 + 7*x**4 + 9*x**3 + 5*x**2 + x + 2)] |-----|
42):  (10, 13, 5, 1, 0, -11):  GIVEN_DERIVATION : [0, -11*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(3*x**6 + 3*x**5 + x**4 + 5*x**3 + 5*x**2 + x + 9)] |-----|
43):  (8, 10, 1, 1, 0, 9):  GIVEN_DERIVATION : [0, 9*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(8*x**2 + 4*x + 9)] |-----|
44):  (10, 7, 9, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**9*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [0, y*(5*x**10 + 4*x**9 + 2*x**8 + 8*x**7 + 6*x**6 + x**5 + 3*x**4 + 8*x**3 + x**2 + 3*x + 5)] |-----|
45):  (11, 7, 3, 1, 0, -15):  GIVEN_DERIVATION : [0, -15*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(4*x**4 + 4*x**3 + 8*x**2 + 3*x + 6)] |-----|
46):  (6, 4, 13, 1, 0, 12):  GIVEN_DERIVATION : [0, 12*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(5*x**14 + 8*x**13 + 3*x**12 + 4*x**11 + 9*x**10 + 2*x**9 + 8*x**8 + 3*x**7 + 4*x**6 + 2*x**5 + x**4 + 5*x**3 + 2*x**2 + 7*x + 9)] |-----|
47):  (15, 13, 3, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(8*x**4 + 9*x**3 + 9*x**2 + 9*x + 5)] |-----|
48):  (13, 6, 7, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**7*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [0, y*(3*x**8 + 9*x**7 + 7*x**6 + 3*x**5 + 7*x**4 + 8*x**3 + 7*x**2 + 7*x + 2)] |-----|
49):  (15, 6, 1, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(5*x**2 + 9*x + 6)] |-----|
50):  (15, 13, 15, 1, 0, -13):  GIVEN_DERIVATION : [0, -13*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(2*x**16 + 5*x**15 + 2*x**14 + 4*x**13 + 6*x**12 + 6*x**11 + 8*x**10 + 7*x**9 + x**8 + x**7 + 5*x**6 + 9*x**5 + 3*x**4 + 9*x**3 + 4*x**2 + x + 9)] |-----|
51):  (11, 2, 14, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(6*x**15 + 7*x**14 + 2*x**13 + 5*x**12 + 6*x**11 + x**10 + 8*x**9 + 4*x**8 + 3*x**7 + 8*x**6 + 4*x**5 + 6*x**4 + x**3 + 8*x**2 + 5*x + 5)] |-----|
52):  (9, 8, 12, 1, 0, 11):  GIVEN_DERIVATION : [0, 11*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(7*x**13 + 2*x**12 + 3*x**11 + 3*x**10 + 7*x**9 + 2*x**8 + 5*x**7 + 2*x**6 + 2*x**5 + 3*x**4 + x**3 + 9*x**2 + 7*x + 3)] |-----|
53):  (8, 8, 4, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(3*x**5 + 6*x**4 + 8*x**3 + 6*x**2 + 5*x + 7)] |-----|
54):  (5, 6, 15, 1, 0, -12):  GIVEN_DERIVATION : [0, -12*x**15*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [0, y*(8*x**16 + 3*x**15 + 3*x**14 + 6*x**13 + 7*x**12 + 4*x**11 + 9*x**10 + x**9 + 2*x**8 + 2*x**7 + x**6 + 5*x**5 + 6*x**4 + x**3 + 3*x**2 + 3*x + 3)] |-----|
55):  (13, 3, 5, 1, 0, -8):  GIVEN_DERIVATION : [0, -8*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(2*x**6 + 4*x**5 + 5*x**4 + 6*x**3 + 6*x**2 + 3*x + 7)] |-----|
