Report of testing
======================General information===================
Total number of different cases: 72
proportional: 0
unproportional: 72
zeroDerivations: 0
correct answers number: 72
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 26.20897098382314
average time per test: 4.36816183063719
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
1):  (11, 3, 10, 4, 8, -22):  GIVEN_DERIVATION : [8*x**11*y**3, -22*x**10*y**4] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-3*x/2, 5*y] |-----|
2):  (11, 9, 10, 10, 130, -143):  GIVEN_DERIVATION : [130*x**11*y**9, -143*x**10*y**10] |-----| isSolutionCorrect : True |-----| matrixDimension : (14, 14) |-----| COMMUTATOR : [-27*x/10, 3*y] |-----|
3):  (10, 3, 9, 4, -8, 20):  GIVEN_DERIVATION : [-8*x**10*y**3, 20*x**9*y**4] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [-2*x**6*y**2 - 2*x**5*y/5 - 5*x/3, 6*x**5*y**3 + x**4*y**2 + 5*y] |-----|
4):  (1, 14, 0, 15, 90, -6):  GIVEN_DERIVATION : [90*x*y**14, -6*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [7*x**2*y**15 - 60*x*y**14 + 7*x, 4*y**15] |-----|
5):  (15, 5, 14, 6, -84, 210):  GIVEN_DERIVATION : [-84*x**15*y**5, 210*x**14*y**6] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-20*x**11*y**4/7 - 16*x**10*y**3/5 - 5*x**6*y**2/2 - 2*x**5*y - 15*x/7, 8*x**10*y**5 + 8*x**9*y**4 + 7*x**5*y**3 + 5*x**4*y**2 + 6*y] |-----|
6):  (12, 13, 11, 14, -182, 156):  GIVEN_DERIVATION : [-182*x**12*y**13, 156*x**11*y**14] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [-65*x**7*y**7/11 - 14*x**6*y**6/3 - 104*x/11, 5*x**6*y**8 + 4*x**5*y**7 + 8*y] |-----|
7):  (4, 4, 3, 5, 10, -8):  GIVEN_DERIVATION : [10*x**4*y**4, -8*x**3*y**5] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [-28*x/3, 7*y] |-----|
8):  (3, 6, 2, 7, -28, 12):  GIVEN_DERIVATION : [-28*x**3*y**6, 12*x**2*y**7] |-----| isSolutionCorrect : True |-----| matrixDimension : (10, 10) |-----| COMMUTATOR : [-7*x**3*y**6/3 - 18*x, x**2*y**7 + 6*y] |-----|
9):  (13, 8, 12, 9, 9, -13):  GIVEN_DERIVATION : [9*x**13*y**8, -13*x**12*y**9] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [-4*x, 6*y] |-----|
10):  (5, 9, 4, 10, 60, -30):  GIVEN_DERIVATION : [60*x**5*y**9, -30*x**4*y**10] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [-4*x**4*y**7 - 27*x**4*y**6/2 - 10*x**3*y**5 - 81*x**3*y**4/4 - 6*x**2*y**3 - 81*x**2*y**2/4 - 8*x*y - 9*x, 2*x**3*y**8 + 6*x**3*y**7 + 5*x**2*y**6 + 9*x**2*y**5 + 3*x*y**4 + 9*x*y**3 + 4*y**2 + 4*y] |-----|
11):  (1, 2, 0, 3, 12, -4):  GIVEN_DERIVATION : [12*x*y**2, -4*y**3] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [2*x**2*y**3 - 9*x*y**2 + 3*x, 3*y**3] |-----|
12):  (15, 12, 14, 13, -39, 45):  GIVEN_DERIVATION : [-39*x**15*y**12, 45*x**14*y**13] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-12*x/7, 2*y] |-----|
13):  (9, 14, 8, 15, -15, 9):  GIVEN_DERIVATION : [-15*x**9*y**14, 9*x**8*y**15] |-----| isSolutionCorrect : True |-----| matrixDimension : (18, 18) |-----| COMMUTATOR : [-63*x**7*y**10/4 - 20*x**6*y**9/3 - 63*x**4*y**5/4 - 20*x**3*y**4/3 - 7*x/2, 9*x**6*y**11 + 4*x**5*y**10 + 9*x**3*y**6 + 4*x**2*y**5 + 2*y] |-----|
14):  (4, 8, 3, 9, 90, -40):  GIVEN_DERIVATION : [90*x**4*y**8, -40*x**3*y**9] |-----| isSolutionCorrect : True |-----| matrixDimension : (12, 12) |-----| COMMUTATOR : [-16*x/3, 2*y] |-----|
